1 SECOND,Axis 0,Axis 1,Axis 2
0.0,158,1021,-14
0.033,159,1020,-13
0.066,159,1020,-10
0.099,159,1019,-9
0.132,159,1017,-5
0.165,159,1019,-5
0.198,159,1018,-1
0.231,159,1020,1
0.264,159,1019,3
0.297,159,1020,-3
0.33,160,1013,2
0.3630000000000001,160,1015,3
0.3960000000000001,160,1016,5
0.4290000000000001,159,1017,9
0.4620000000000002,160,1017,2
0.4950000000000002,159,1013,11
0.5280000000000002,159,1016,12
0.5610000000000003,159,1019,-3
0.5940000000000003,159,1013,14
0.6270000000000003,159,1021,1
0.6600000000000004,160,1015,4
0.6930000000000004,160,1007,8
0.7260000000000004,159,1014,14
0.7590000000000005,159,1016,18
0.7920000000000005,160,1015,7
0.8250000000000005,159,1016,-11
0.8580000000000005,158,1021,21
0.8910000000000006,158,1013,23
0.9240000000000006,159,1011,22
0.9570000000000006,160,1005,8
0.9900000000000008,159,1016,-8
1.0230000000000006,159,988,13
1.0560000000000005,160,1015,8
1.0890000000000004,153,1047,-4
1.1220000000000003,152,993,51
1.1550000000000002,160,994,13
1.1880000000000002,150,986,55
1.221,159,985,15
1.254,150,1012,56
1.287,128,917,50
1.3199999999999998,141,939,47
1.3529999999999998,155,963,14
1.3859999999999997,151,985,-52
1.4189999999999996,-51,848,1
1.4519999999999995,-11,849,52
1.4849999999999994,150,943,5
1.5179999999999991,-145,935,19
1.5509999999999993,-25,872,94
1.5839999999999992,-125,1099,-18
1.616999999999999,39,1082,-132
1.649999999999999,-149,956,-40
1.682999999999999,-130,922,53
1.7159999999999989,-144,930,-9
1.7489999999999988,-159,1012,-19
1.7819999999999987,-144,974,-67
1.8149999999999984,-112,887,23
1.8479999999999983,-111,894,45
1.8809999999999985,-156,1036,0
1.9139999999999984,16,932,-144
1.9469999999999985,-134,912,10
1.9799999999999984,-143,927,-2
2.012999999999998,-124,954,-91
2.045999999999998,-143,929,13
2.078999999999998,-149,946,23
2.111999999999998,-148,940,17
2.144999999999998,-132,994,-91
2.1779999999999977,-158,978,11
2.2109999999999976,-157,977,-26
2.2439999999999976,-151,946,4
2.276999999999997,-151,946,2
2.3099999999999974,-160,990,1
2.3429999999999973,-113,901,56
2.375999999999997,-156,962,-7
2.408999999999997,-150,945,13
2.441999999999997,-123,938,82
2.474999999999997,-146,1050,-42
2.507999999999997,-124,899,-6
2.540999999999997,-129,907,16
2.5739999999999967,-147,938,19
2.6069999999999967,-157,967,-7
2.639999999999997,-155,964,-17
2.6729999999999965,-156,969,22
2.7059999999999964,-151,948,12
2.7389999999999963,-160,997,3
2.771999999999996,-158,1018,-21
2.804999999999996,-133,1005,89
2.837999999999996,-142,958,61
2.870999999999996,-150,952,-28
