1 SECOND,Axis 0,Axis 1,Axis 2
0.0,3.16,20.13,0.67
0.033,3.11,17.32,-3.4
0.066,3.64,21.39,0.6
0.099,3.74,24.33,0.99
0.132,5.2,26.18,2.38
0.165,4.86,27.79,2.27
0.198,7.68,28.68,1.09
0.231,6.93,33.76,3.0
0.264,7.51,33.0,1.62
0.29700000000000004,7.92,25.51,-0.77
0.33000000000000007,10.99,22.6,-1.39
0.3630000000000001,8.22,18.55,-6.0
0.39600000000000013,9.27,20.06,-7.11
0.42900000000000016,8.64,23.93,-3.47
0.4620000000000002,9.85,20.9,-5.28
0.4950000000000002,11.0,22.31,-4.93
0.5280000000000002,12.94,26.38,-3.28
0.5610000000000003,12.68,17.68,-7.36
0.5940000000000003,11.38,21.37,-7.26
0.6270000000000003,8.23,16.56,-4.97
0.6600000000000004,6.22,17.79,-1.93
0.6930000000000004,3.67,17.85,-0.84
0.7260000000000004,6.53,32.31,-1.99
0.7590000000000005,7.77,29.45,1.05
0.7920000000000005,8.94,27.11,1.04
0.8250000000000005,7.57,28.19,0.75
0.8580000000000005,6.86,29.52,0.82
0.8910000000000006,6.62,32.15,-6.06
0.9240000000000006,6.45,29.06,-5.77
0.9570000000000006,4.66,27.93,-1.12
0.9900000000000007,5.03,31.83,1.96
1.0230000000000006,8.63,31.05,6.41
1.0560000000000005,6.79,26.88,5.19
1.0890000000000004,4.91,21.92,4.86
1.1220000000000003,7.71,15.84,1.29
1.1880000000000002,6.96,16.99,0.93
1.221,6.41,14.22,-2.93
1.254,6.02,11.94,-3.5
1.287,5.18,18.06,-1.42
1.3199999999999998,5.41,17.49,0.08
1.3529999999999998,3.63,12.64,2.83
1.3859999999999997,2.07,5.53,-0.17
1.4189999999999996,3.44,12.04,-1.51
1.4519999999999995,3.32,7.04,-7.19
1.4849999999999994,1.84,5.64,-5.2
1.5179999999999993,-0.33,5.46,-3.76
1.5509999999999993,-1.63,8.94,-2.99
1.5839999999999992,1.04,12.28,1.72
1.616999999999999,1.86,19.14,-0.14
1.649999999999999,2.46,24.92,-2.6
1.682999999999999,2.05,19.95,-1.88
1.7159999999999989,1.48,17.75,-5.24
1.7489999999999988,3.29,18.09,-3.23
1.7819999999999987,6.81,14.46,-2.89
1.8149999999999986,5.48,17.66,-2.64
1.8479999999999985,3.68,19.14,-2.19
1.9139999999999984,2.38,19.1,-4.08
1.9469999999999983,1.45,19.07,-4.61
1.9799999999999982,4.1,18.78,-5.55
2.012999999999998,2.41,21.06,-2.07
2.045999999999998,2.02,15.22,-1.22
2.078999999999998,3.4,20.15,-1.16
2.111999999999998,2.18,11.23,-2.5
2.144999999999998,0.47,4.24,-2.36
2.1779999999999977,-1.05,11.1,-0.04
2.2109999999999976,0.35,8.02,-0.59
2.2439999999999976,1.36,10.51,1.52
2.2769999999999975,0.98,21.19,16.9
2.3099999999999974,-12.04,7.55,2.79
2.3429999999999973,-22.01,19.6,49.43
2.3759999999999972,-18.68,-16.62,126.39
2.408999999999997,-19.33,161.85,333.97
2.441999999999997,35.67,460.24,335.64
2.474999999999997,-63.78,563.6,97.56
2.540999999999997,-196.11,368.23,0.35
2.5739999999999967,-226.3,190.43,-71.56
2.6399999999999966,-152.74,131.53,-58.65
2.6729999999999965,-158.91,151.62,-19.37
2.7059999999999964,-182.78,158.66,10.12
2.7389999999999963,-170.64,133.24,23.68
2.7719999999999962,-137.19,113.77,29.59
2.804999999999996,-109.96,91.93,34.97
2.837999999999996,-96.94,76.7,39.97
2.870999999999996,-85.87,54.6,43.58
2.903999999999996,-84.24,55.26,57.01
2.936999999999996,-81.4,54.91,70.04
2.9699999999999958,-87.94,65.75,52.0
3.0029999999999957,-54.41,60.83,57.55
3.0359999999999956,-24.63,33.43,52.41
3.0689999999999955,43.48,-75.94,-1.5
3.1019999999999954,64.42,-252.59,93.19
3.1349999999999953,-133.95,-296.79,28.53
3.1679999999999953,-306.99,-150.17,-226.99
3.200999999999995,-103.47,164.6,-105.27
3.233999999999995,112.66,202.69,187.62
3.266999999999995,162.95,183.92,169.42
3.299999999999995,170.72,114.9,105.81
3.332999999999995,148.9,7.34,77.58
3.3659999999999948,126.19,-59.58,59.12
3.3989999999999947,110.33,-104.06,38.29
3.4319999999999946,88.61,-127.89,28.5
3.4649999999999945,71.53,-136.79,22.82
3.4979999999999944,61.95,-136.85,26.2
3.5309999999999944,58.08,-125.8,9.23
3.5639999999999943,45.58,-124.75,8.89
3.596999999999994,38.49,-123.15,3.65
3.629999999999994,36.97,-119.23,11.51
3.662999999999994,31.71,-109.46,13.59
3.695999999999994,32.9,-99.63,6.22
